category,full_category,salary_in_usd
Scientist,Data Scientist,20000
Engineer,Machine Learning Data Engineer,210000
Engineer,Machine Learning Data Engineer,190000
Analyst,Data Analyst,95000
Analyst,Data Analyst,70000
Scientist,Data Scientist,195000
Scientist,Data Scientist,119000
Scientist,Data Scientist,216000
Scientist,Data Scientist,184000
Engineer,Machine Learning Data Engineer,200000
Engineer,Machine Learning Data Engineer,160000
Analyst,Data Analyst,80000
Analyst,Data Analyst,70000
Engineer,Business Intelligence Data Engineer,185000
Engineer,Business Intelligence Data Engineer,79600
Analyst,Data Analyst,73496
Analyst,Data Analyst,61246
Engineer,Data Engineer,266450
Engineer,Data Engineer,177700
Scientist,Data Scientist,245000
Scientist,Data Scientist,185000
Engineer,Machine Learning Data Engineer,247500
Engineer,Machine Learning Data Engineer,172200
Scientist,Data Scientist,222200
Scientist,Data Scientist,136000
Others,Data Others,55720
Others,Data Others,50700
Analyst,Business Data Analyst,56000
Engineer,Data Engineer,370000
Engineer,Data Engineer,200000
Engineer,Data Engineer,196000
Engineer,Data Engineer,121000
Engineer,Business Intelligence Data Engineer,202800
Engineer,Business Intelligence Data Engineer,104300
Architect,Data Architect,135000
Architect,Data Architect,115000
Engineer,Machine Learning Data Engineer,302000
Engineer,Machine Learning Data Engineer,189000
Analyst,Data Analyst,65000
Analyst,Data Analyst,55000
Engineer,Machine Learning Data Engineer,220000
Engineer,Machine Learning Data Engineer,170000
Engineer,Business Intelligence Data Engineer,185000
Engineer,Business Intelligence Data Engineer,79600
Analyst,Data Analyst,110000
Analyst,Data Analyst,75000
Analyst,Business Intelligence Data Analyst,150000
Analyst,Business Intelligence Data Analyst,93000
Analyst,Data Analyst,190000
Engineer,Data Engineer,46177
Engineer,Machine Learning Data Engineer,204500
Engineer,Machine Learning Data Engineer,142200
Scientist,Data Scientist,204500
Scientist,Data Scientist,126400
Engineer,Machine Learning Data Engineer,216000
Engineer,Machine Learning Data Engineer,184000
Analyst,Data Analyst,139600
Analyst,Data Analyst,85700
Scientist,Data Scientist,100000
Scientist,Data Scientist,128750
Scientist,Data Scientist,79350
Analyst,Data Analyst,73496
Analyst,Data Analyst,67371
Scientist,Data Scientist,185900
Scientist,Data Scientist,129300
Analyst,Data Analyst,174000
Analyst,Data Analyst,134000
Engineer,Data Engineer,155000
Engineer,Data Engineer,125000
Engineer,Business Intelligence Data Engineer,185000
Engineer,Business Intelligence Data Engineer,79600
Engineer,Data Engineer,194400
Engineer,Data Engineer,132192
Engineer,Machine Learning Data Engineer,273400
Engineer,Machine Learning Data Engineer,182200
Analyst,Data Analyst,165000
Analyst,Data Analyst,142500
Scientist,Data Scientist,213654
Scientist,Data Scientist,142436
Engineer,Data Engineer,124230
Engineer,Data Engineer,68637
Engineer,Data Engineer,204000
Engineer,Data Engineer,161500
Engineer,Machine Learning Data Engineer,204500
Engineer,Machine Learning Data Engineer,142200
Scientist,Data Scientist,185900
Scientist,Data Scientist,129300
Architect,Data Architect,200000
Architect,Data Architect,100000
Scientist,Data Scientist,260000
Scientist,Data Scientist,136000
Scientist,Data Scientist,175000
Scientist,Data Scientist,148750
Engineer,Machine Learning Data Engineer,226600
Engineer,Machine Learning Data Engineer,140100
Scientist,Data Scientist,135000
Scientist,Data Scientist,95000
Engineer,Machine Learning Data Engineer,287700
Engineer,Machine Learning Data Engineer,148000
Scientist,Data Scientist,227240
Scientist,Data Scientist,197600
Scientist,Data Scientist,161000
Scientist,Data Scientist,140000
Engineer,Machine Learning Data Engineer,221000
Engineer,Machine Learning Data Engineer,185000
Scientist,Data Scientist,210000
Scientist,Data Scientist,178500
Engineer,Machine Learning Data Engineer,180000
Engineer,Machine Learning Data Engineer,150000
Analyst,Data Analyst,146100
Analyst,Data Analyst,112400
Analyst,Data Analyst,160000
Analyst,Data Analyst,140000
Architect,Data Architect,85745
Architect,Data Architect,79620
Engineer,Machine Learning Data Engineer,331640
Engineer,Machine Learning Data Engineer,267720
Engineer,Data Engineer,285000
Engineer,Data Engineer,205000
Engineer,Data Engineer,90000
Analyst,Data Analyst,120350
Analyst,Data Analyst,74400
Engineer,Data Engineer,146000
Engineer,Data Engineer,94000
Engineer,Machine Learning Data Engineer,237400
Engineer,Machine Learning Data Engineer,158200
Engineer,Business Intelligence Data Engineer,225000
Engineer,Business Intelligence Data Engineer,156400
Engineer,Machine Learning Data Engineer,192000
Engineer,Machine Learning Data Engineer,164000
Engineer,Business Intelligence Data Engineer,150000
Engineer,Business Intelligence Data Engineer,141000
Scientist,Data Scientist,260000
Scientist,Data Scientist,136000
Scientist,Data Scientist,309400
Scientist,Data Scientist,159100
Analyst,Data Analyst,267000
Analyst,Data Analyst,205000
Architect,Data Architect,147100
Architect,Data Architect,90700
Analyst,Data Analyst,115000
Analyst,Data Analyst,72000
Analyst,Data Analyst,169000
Analyst,Data Analyst,110600
Analyst,Data Analyst,67371
Analyst,Data Analyst,67371
Engineer,Business Intelligence Data Engineer,185000
Engineer,Business Intelligence Data Engineer,79600
Engineer,Data Engineer,165000
Engineer,Data Engineer,141000
Engineer,Cloud Data Engineer,176390
Scientist,Data Scientist,240000
Scientist,Data Scientist,142000
Engineer,Machine Learning Data Engineer,180000
Engineer,Machine Learning Data Engineer,105000
Analyst,Data Analyst,80000
Analyst,Data Analyst,60000
Engineer,Machine Learning Data Engineer,268000
Engineer,Machine Learning Data Engineer,180000
Analyst,Data Analyst,144628
Analyst,Data Analyst,115702
Analyst,Data Analyst,144000
Analyst,Data Analyst,132000
Analyst,Data Analyst,106400
Analyst,Data Analyst,81800
Analyst,Data Analyst,134200
Analyst,Data Analyst,103200
Analyst,Data Analyst,110000
Analyst,Data Analyst,93500
Engineer,Data Engineer,208200
Engineer,Data Engineer,151200
Engineer,Machine Learning Data Engineer,240000
Engineer,Machine Learning Data Engineer,180000
Scientist,Data Scientist,270000
Scientist,Data Scientist,220000
Engineer,Data Engineer,194500
Engineer,Data Engineer,115500
Scientist,Data Scientist,225000
Scientist,Data Scientist,156400
Analyst,Data Analyst,140000
Analyst,Data Analyst,100000
Engineer,Machine Learning Data Engineer,193600
Engineer,Machine Learning Data Engineer,119700
Engineer,Machine Learning Data Engineer,225000
Engineer,Machine Learning Data Engineer,199000
Analyst,Data Analyst,50000
Analyst,Data Analyst,40000
Scientist,Data Scientist,185900
Scientist,Data Scientist,129300
Analyst,Data Analyst,120000
Analyst,Data Analyst,95000
Analyst,Data Analyst,97994
Analyst,Data Analyst,55122
Scientist,Data Scientist,225000
Scientist,Data Scientist,156400
Analyst,Data Analyst,398104
Scientist,Data Scientist,101594
Engineer,Data Engineer,41040
Engineer,Machine Learning Data Engineer,155000
Engineer,Machine Learning Data Engineer,100000
Analyst,Data Analyst,85000
Analyst,Data Analyst,65000
Architect,Data Architect,280100
Architect,Data Architect,168100
Scientist,Machine Learning Data Scientist,200000
Scientist,Machine Learning Data Scientist,120000
Engineer,Business Intelligence Data Engineer,185000
Engineer,Business Intelligence Data Engineer,79600
Engineer,Data Engineer,149040
Engineer,Data Engineer,113900
Engineer,Machine Learning Data Engineer,240000
Engineer,Machine Learning Data Engineer,180000
Scientist,Machine Learning Data Scientist,165000
Scientist,Machine Learning Data Scientist,145000
Scientist,Machine Learning Data Scientist,165000
Scientist,Machine Learning Data Scientist,145000
Architect,Data Architect,274450
Architect,Data Architect,199600
Engineer,Data Engineer,83500
Engineer,Data Engineer,52500
Developer,Business Intelligence Data Developer,140000
Developer,Business Intelligence Data Developer,76500
Scientist,Data Scientist,48600
Scientist,Data Scientist,38880
Architect,Data Architect,306000
Architect,Data Architect,204000
Engineer,Machine Learning Data Engineer,204500
Engineer,Machine Learning Data Engineer,142200
Scientist,Data Scientist,185900
Scientist,Data Scientist,129300
Analyst,Data Analyst,136000
Analyst,Data Analyst,104000
